NocNo,JobLevel
0000, 0
0001, 0
0002, 0
0003, 0
0004, 0
0005, 0
0006, 0
0007, 0
0008, 0
0009, 0
0010, 0
0011, 0
0012, 0
0013, 0
0014, 0
0015, 0
0016, 0
0017, 0
0018, 0
0019, 0
0020, 0
0021, 0
0022, 0
0023, 0
0024, 0
0025, 0
0026, 0
0027, 0
0028, 0
0029, 0
0030, 0
0031, 0
0032, 0
0033, 0
0034, 0
0035, 0
0036, 0
0037, 0
0038, 0
0039, 0
0040, 0
0041, 0
0042, 0
0043, 0
0044, 0
0045, 0
0046, 0
0047, 0
0048, 0
0049, 0
0050, 0
0051, 0
0052, 0
0053, 0
0054, 0
0055, 0
0056, 0
0057, 0
0058, 0
0059, 0
0060, 0
0061, 0
0062, 0
0063, 0
0064, 0
0065, 0
0066, 0
0067, 0
0068, 0
0069, 0
0070, 0
0071, 0
0072, 0
0073, 0
0074, 0
0075, 0
0076, 0
0077, 0
0078, 0
0079, 0
0080, 0
0081, 0
0082, 0
0083, 0
0084, 0
0085, 0
0086, 0
0087, 0
0088, 0
0089, 0
0090, 0
0091, 0
0092, 0
0093, 0
0094, 0
0095, 0
0096, 0
0097, 0
0098, 0
0100, 0
0101, 0
0102, 0
0103, 0
0104, 0
0105, 0
0106, 0
0107, 0
0108, 0
0109, 0
0110, 0
0111, 0
0112, 0
0113, 0
0114, 0
0115, 0
0116, 0
0117, 0
0118, 0
0119, 0
0120, 0
0121, 0
0122, 0
0123, 0
0124, 0
0125, 0
0126, 0
0127, 0
0128, 0
0129, 0
0130, 0
0131, 0
0132, 0
0133, 0
0134, 0
0135, 0
0136, 0
0137, 0
0138, 0
0139, 0
0140, 0
0141, 0
0142, 0
0143, 0
0144, 0
0145, 0
0146, 0
0147, 0
0148, 0
0149, 0
0150, 0
0151, 0
0152, 0
0153, 0
0154, 0
0155, 0
0156, 0
0157, 0
0158, 0
0159, 0
0160, 0
0161, 0
0162, 0
0163, 0
0164, 0
0165, 0
0166, 0
0167, 0
0168, 0
0169, 0
0170, 0
0171, 0
0172, 0
0173, 0
0174, 0
0175, 0
0176, 0
0177, 0
0178, 0
0179, 0
0180, 0
0181, 0
0182, 0
0183, 0
0184, 0
0185, 0
0186, 0
0187, 0
0188, 0
0189, 0
0190, 0
0191, 0
0192, 0
0193, 0
0194, 0
0195, 0
0196, 0
0197, 0
0198, 0
1100, A
1101, A
1102, A
1103, A
1104, A
1105, A
1106, A
1107, A
1108, A
1109, A
1110, A
1111, A
1112, A
1113, A
1114, A
1115, A
1116, A
1117, A
1118, A
1119, A
1120, A
1121, A
1122, A
1123, A
1124, A
1125, A
1126, A
1127, A
1128, A
1129, A
1130, A
1131, A
1132, A
1133, A
1134, A
1135, A
1136, A
1137, A
1138, A
1139, A
1140, A
1141, A
1142, A
1143, A
1144, A
1145, A
1146, A
1147, A
1148, A
1149, A
1150, A
1151, A
1152, A
1153, A
1154, A
1155, A
1156, A
1157, A
1158, A
1159, A
1160, A
1161, A
1162, A
1163, A
1164, A
1165, A
1166, A
1167, A
1168, A
1169, A
1170, A
1171, A
1172, A
1173, A
1174, A
1175, A
1176, A
1177, A
1178, A
1179, A
1180, A
1181, A
1182, A
1183, A
1184, A
1185, A
1186, A
1187, A
1188, A
1189, A
1190, A
1191, A
1192, A
1193, A
1194, A
1195, A
1196, A
1197, A
1198, A
1200, B
1201, B
1202, B
1203, B
1204, B
1205, B
1206, B
1207, B
1208, B
1209, B
1210, B
1211, B
1212, B
1213, B
1214, B
1215, B
1216, B
1217, B
1218, B
1219, B
1220, B
1221, B
1222, B
1223, B
1224, B
1225, B
1226, B
1227, B
1228, B
1229, B
1230, B
1231, B
1232, B
1233, B
1234, B
1235, B
1236, B
1237, B
1238, B
1239, B
1240, B
1241, B
1242, B
1243, B
1244, B
1245, B
1246, B
1247, B
1248, B
1249, B
1250, B
1251, B
1252, B
1253, B
1254, B
1255, B
1256, B
1257, B
1258, B
1259, B
1260, B
1261, B
1262, B
1263, B
1264, B
1265, B
1266, B
1267, B
1268, B
1269, B
1270, B
1271, B
1272, B
1273, B
1274, B
1275, B
1276, B
1277, B
1278, B
1279, B
1280, B
1281, B
1282, B
1283, B
1284, B
1285, B
1286, B
1287, B
1288, B
1289, B
1290, B
1291, B
1292, B
1293, B
1294, B
1295, B
1296, B
1297, B
1298, B
1300, B
1301, B
1302, B
1303, B
1304, B
1305, B
1306, B
1307, B
1308, B
1309, B
1310, B
1311, B
1312, B
1313, B
1314, B
1315, B
1316, B
1317, B
1318, B
1319, B
1320, B
1321, B
1322, B
1323, B
1324, B
1325, B
1326, B
1327, B
1328, B
1329, B
1330, B
1331, B
1332, B
1333, B
1334, B
1335, B
1336, B
1337, B
1338, B
1339, B
1340, B
1341, B
1342, B
1343, B
1344, B
1345, B
1346, B
1347, B
1348, B
1349, B
1350, B
1351, B
1352, B
1353, B
1354, B
1355, B
1356, B
1357, B
1358, B
1359, B
1360, B
1361, B
1362, B
1363, B
1364, B
1365, B
1366, B
1367, B
1368, B
1369, B
1370, B
1371, B
1372, B
1373, B
1374, B
1375, B
1376, B
1377, B
1378, B
1379, B
1380, B
1381, B
1382, B
1383, B
1384, B
1385, B
1386, B
1387, B
1388, B
1389, B
1390, B
1391, B
1392, B
1393, B
1394, B
1395, B
1396, B
1397, B
1398, B
1400, C
1401, C
1402, C
1403, C
1404, C
1405, C
1406, C
1407, C
1408, C
1409, C
1410, C
1411, C
1412, C
1413, C
1414, C
1415, C
1416, C
1417, C
1418, C
1419, C
1420, C
1421, C
1422, C
1423, C
1424, C
1425, C
1426, C
1427, C
1428, C
1429, C
1430, C
1431, C
1432, C
1433, C
1434, C
1435, C
1436, C
1437, C
1438, C
1439, C
1440, C
1441, C
1442, C
1443, C
1444, C
1445, C
1446, C
1447, C
1448, C
1449, C
1450, C
1451, C
1452, C
1453, C
1454, C
1455, C
1456, C
1457, C
1458, C
1459, C
1460, C
1461, C
1462, C
1463, C
1464, C
1465, C
1466, C
1467, C
1468, C
1469, C
1470, C
1471, C
1472, C
1473, C
1474, C
1475, C
1476, C
1477, C
1478, C
1479, C
1480, C
1481, C
1482, C
1483, C
1484, C
1485, C
1486, C
1487, C
1488, C
1489, C
1490, C
1491, C
1492, C
1493, C
1494, C
1495, C
1496, C
1497, C
1498, C
1500, C
1501, C
1502, C
1503, C
1504, C
1505, C
1506, C
1507, C
1508, C
1509, C
1510, C
1511, C
1512, C
1513, C
1514, C
1515, C
1516, C
1517, C
1518, C
1519, C
1520, C
1521, C
1522, C
1523, C
1524, C
1525, C
1526, C
1527, C
1528, C
1529, C
1530, C
1531, C
1532, C
1533, C
1534, C
1535, C
1536, C
1537, C
1538, C
1539, C
1540, C
1541, C
1542, C
1543, C
1544, C
1545, C
1546, C
1547, C
1548, C
1549, C
1550, C
1551, C
1552, C
1553, C
1554, C
1555, C
1556, C
1557, C
1558, C
1559, C
1560, C
1561, C
1562, C
1563, C
1564, C
1565, C
1566, C
1567, C
1568, C
1569, C
1570, C
1571, C
1572, C
1573, C
1574, C
1575, C
1576, C
1577, C
1578, C
1579, C
1580, C
1581, C
1582, C
1583, C
1584, C
1585, C
1586, C
1587, C
1588, C
1589, C
1590, C
1591, C
1592, C
1593, C
1594, C
1595, C
1596, C
1597, C
1598, C
0200, 0
0201, 0
0202, 0
0203, 0
0204, 0
0205, 0
0206, 0
0207, 0
0208, 0
0209, 0
0210, 0
0211, 0
0212, 0
0213, 0
0214, 0
0215, 0
0216, 0
0217, 0
0218, 0
0219, 0
0220, 0
0221, 0
0222, 0
0223, 0
0224, 0
0225, 0
0226, 0
0227, 0
0228, 0
0229, 0
0230, 0
0231, 0
0232, 0
0233, 0
0234, 0
0235, 0
0236, 0
0237, 0
0238, 0
0239, 0
0240, 0
0241, 0
0242, 0
0243, 0
0244, 0
0245, 0
0246, 0
0247, 0
0248, 0
0249, 0
0250, 0
0251, 0
0252, 0
0253, 0
0254, 0
0255, 0
0256, 0
0257, 0
0258, 0
0259, 0
0260, 0
0261, 0
0262, 0
0263, 0
0264, 0
0265, 0
0266, 0
0267, 0
0268, 0
0269, 0
0270, 0
0271, 0
0272, 0
0273, 0
0274, 0
0275, 0
0276, 0
0277, 0
0278, 0
0279, 0
0280, 0
0281, 0
0282, 0
0283, 0
0284, 0
0285, 0
0286, 0
0287, 0
0288, 0
0289, 0
0290, 0
0291, 0
0292, 0
0293, 0
0294, 0
0295, 0
0296, 0
0297, 0
0298, 0
2100, A
2101, A
2102, A
2103, A
2104, A
2105, A
2106, A
2107, A
2108, A
2109, A
2110, A
2111, A
2112, A
2113, A
2114, A
2115, A
2116, A
2117, A
2118, A
2119, A
2120, A
2121, A
2122, A
2123, A
2124, A
2125, A
2126, A
2127, A
2128, A
2129, A
2130, A
2131, A
2132, A
2133, A
2134, A
2135, A
2136, A
2137, A
2138, A
2139, A
2140, A
2141, A
2142, A
2143, A
2144, A
2145, A
2146, A
2147, A
2148, A
2149, A
2150, A
2151, A
2152, A
2153, A
2154, A
2155, A
2156, A
2157, A
2158, A
2159, A
2160, A
2161, A
2162, A
2163, A
2164, A
2165, A
2166, A
2167, A
2168, A
2169, A
2170, A
2171, A
2172, A
2173, A
2174, A
2175, A
2176, A
2177, A
2178, A
2179, A
2180, A
2181, A
2182, A
2183, A
2184, A
2185, A
2186, A
2187, A
2188, A
2189, A
2190, A
2191, A
2192, A
2193, A
2194, A
2195, A
2196, A
2197, A
2198, A
2200, B
2201, B
2202, B
2203, B
2204, B
2205, B
2206, B
2207, B
2208, B
2209, B
2210, B
2211, B
2212, B
2213, B
2214, B
2215, B
2216, B
2217, B
2218, B
2219, B
2220, B
2221, B
2222, B
2223, B
2224, B
2225, B
2226, B
2227, B
2228, B
2229, B
2230, B
2231, B
2232, B
2233, B
2234, B
2235, B
2236, B
2237, B
2238, B
2239, B
2240, B
2241, B
2242, B
2243, B
2244, B
2245, B
2246, B
2247, B
2248, B
2249, B
2250, B
2251, B
2252, B
2253, B
2254, B
2255, B
2256, B
2257, B
2258, B
2259, B
2260, B
2261, B
2262, B
2263, B
2264, B
2265, B
2266, B
2267, B
2268, B
2269, B
2270, B
2271, B
2272, B
2273, B
2274, B
2275, B
2276, B
2277, B
2278, B
2279, B
2280, B
2281, B
2282, B
2283, B
2284, B
2285, B
2286, B
2287, B
2288, B
2289, B
2290, B
2291, B
2292, B
2293, B
2294, B
2295, B
2296, B
2297, B
2298, B
0300, 0
0301, 0
0302, 0
0303, 0
0304, 0
0305, 0
0306, 0
0307, 0
0308, 0
0309, 0
0310, 0
0311, 0
0312, 0
0313, 0
0314, 0
0315, 0
0316, 0
0317, 0
0318, 0
0319, 0
0320, 0
0321, 0
0322, 0
0323, 0
0324, 0
0325, 0
0326, 0
0327, 0
0328, 0
0329, 0
0330, 0
