Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Saint John's,76.16,22.36,51.14,74.60,72.48,56.61
,Fredericton,75.60,23.92,51.57,74.96,74.63,75.11
,Burnaby,75.34,48.40,62.82,77.17,67.15,70.81
,Toronto,75.29,52.97,64.91,68.53,76.42,83.09
,Surrey,75.18,43.21,60.31,78.71,67.53,92.48
,Halifax,74.48,34.53,55.90,79.47,64.06,81.87
,Vancouver,73.60,52.68,63.88,74.07,71.11,95.15
,Calgary,73.26,32.92,54.50,68.47,71.61,114.37
,Guelph,73.08,35.56,55.64,70.44,79.00,79.72
,Red Deer,72.96,23.01,49.73,71.50,65.69,117.31
,"Nanaimo, BC",72.40,33.78,54.44,76.26,66.32,57.78
,Victoria,72.27,43.83,59.05,74.57,68.58,91.10
,Kingston,72.23,32.08,53.56,70.62,63.83,69.18
,Ottawa,72.12,40.78,57.55,69.33,69.38,88.74
,Edmonton,72.11,28.97,52.05,67.05,72.00,104.58
,Mississauga,71.80,47.28,60.40,67.70,61.63,89.65
,Saskatoon,71.71,28.40,51.57,67.27,66.11,96.17
,Winnipeg,70.49,27.20,50.37,68.94,61.87,92.81
,Brampton,70.21,41.53,56.88,65.50,59.55,83.05
,Coquitlam,69.77,46.80,59.09,66.68,70.86,70.94
,Markham,69.56,46.36,58.77,60.87,68.94,92.41
,Regina,69.27,29.45,50.76,68.21,65.15,103.12
,North Vancouver,69.19,57.92,63.95,67.01,67.89,113.34
,Montreal,68.74,31.27,51.31,71.27,63.43,85.35
,Kitchener,67.76,33.67,51.91,62.01,71.19,76.69
,London,67.67,33.69,51.87,62.60,67.58,109.06
,Quebec City,67.54,21.01,45.91,69.46,55.62,101.46
,Hamilton,66.80,34.13,51.61,62.89,62.98,79.38
,Kelowna,66.13,37.64,52.88,61.11,64.24,71.93
,Windsor,65.98,27.63,48.15,59.75,71.03,72.03
