Rank,City,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
,Abbotsford,9.14,5.04,4.56,19.83,21.92,61.95,1.61
,Barrie,5.40,7.88,7.28,12.70,13.74,38.77,2.58
,Brampton,7.75,5.38,5.76,18.60,17.35,53.45,1.87
,Burlington,6.82,4.38,4.96,22.84,20.16,48.34,2.07
,Burnaby,9.92,4.47,6.29,22.39,15.90,70.71,1.41
,Calgary,3.50,6.87,7.67,14.55,13.04,22.33,4.48
,Coquitlam,10.10,5.78,4.77,17.30,20.98,69.14,1.45
,Edmonton,3.65,6.64,7.86,15.07,12.72,24.25,4.12
,Fredericton,2.38,12.38,14.52,8.08,6.89,16.93,5.91
,Guelph,5.57,7.22,6.85,13.84,14.60,40.14,2.49
,Halifax,5.70,6.08,6.82,16.44,14.67,39.22,2.55
,Hamilton,7.13,5.12,6.59,19.53,15.18,48.54,2.06
,Kamloops,6.87,7.57,5.44,13.20,18.38,48.09,2.08
,Kelowna,6.29,7.28,7.89,13.73,12.68,44.06,2.27
,Kingston,9.90,4.26,4.22,23.48,23.72,71.30,1.40
,Kitchener,7.78,5.41,5.30,18.49,18.86,54.37,1.84
,"Langley, BC",8.20,5.36,4.36,18.64,22.95,58.37,1.71
,London,4.06,7.42,6.80,13.47,14.71,27.68,3.61
,Markham,10.49,3.75,4.43,26.65,22.57,75.51,1.32
,Mississauga,7.73,4.84,6.77,20.66,14.78,53.34,1.87
,Moncton,2.69,12.19,9.66,8.20,10.35,18.71,5.34
,Montreal,6.98,4.62,5.39,21.66,18.54,45.07,2.22
,"Nanaimo, BC",7.65,6.32,7.20,15.83,13.88,54.97,1.82
,New Westminster,9.21,4.74,4.70,21.08,21.27,66.12,1.51
,North Vancouver,8.80,4.80,3.82,20.85,26.19,61.45,1.63
,Oakville,13.23,4.07,5.10,24.60,19.59,90.69,1.10
,Oshawa,4.40,8.43,8.75,11.86,11.43,30.86,3.24
,Ottawa,5.46,6.72,7.48,14.88,13.36,36.47,2.74
,Quebec City,4.16,6.05,4.50,16.53,22.24,27.99,3.57
,Red Deer,5.86,3.23,3.38,30.99,29.62,39.84,2.51
,Regina,4.21,5.37,7.81,18.61,12.80,29.43,3.40
,Richmond Hill,11.96,3.33,3.88,30.02,25.77,84.50,1.18
,Saint John's,7.42,5.05,5.03,19.80,19.88,53.75,1.86
,Saskatoon,4.84,8.37,4.26,11.95,23.45,33.82,2.96
,Sudbury,7.91,4.81,3.78,20.80,26.42,56.48,1.77
,Surrey,7.74,4.67,4.89,21.40,20.44,53.37,1.87
,Thunder Bay,10.59,4.21,3.24,23.75,30.86,75.97,1.32
,Toronto,12.51,3.74,3.87,26.75,25.82,81.01,1.23
,Vancouver,11.11,3.74,3.72,26.74,26.88,71.69,1.39
,Victoria,7.17,4.82,6.41,20.73,15.61,48.62,2.06
,Waterloo,9.30,4.96,5.19,20.18,19.28,66.72,1.50
,Windsor,5.81,6.13,7.27,16.32,13.76,41.47,2.41
,Winnipeg,3.76,8.11,7.08,12.33,14.13,25.14,3.98
