Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
,Victoria,189.22,91.05,64.67,70.37,72.27,7.17,28.47,14.83,92.52
,Quebec City,183.95,101.40,85.16,71.23,67.54,4.16,27.91,28.21,47.98
,Calgary,177.91,114.11,65.13,76.38,73.26,3.50,30.10,23.99,33.09
,Vancouver,177.04,95.10,63.42,75.44,73.60,11.11,37.41,24.13,91.15
,Ottawa,174.60,88.53,73.89,74.97,72.12,5.46,31.09,21.52,44.46
,Edmonton,167.36,104.59,57.26,78.66,72.06,3.65,29.60,29.43,32.11
,Halifax,166.08,81.83,59.12,70.23,74.48,5.70,30.80,23.12,58.99
,Mississauga,161.76,89.59,57.62,70.04,71.80,7.73,38.79,24.25,58.72
,Kelowna,160.97,71.76,49.69,75.26,66.13,6.29,28.90,22.82,59.65
,Montreal,157.08,85.16,70.73,64.79,68.74,6.98,39.77,32.97,52.37
,Regina,152.49,103.07,47.61,67.79,69.27,4.21,17.20,37.03,14.28
,Toronto,147.49,83.07,59.69,75.82,75.29,12.51,44.96,37.75,65.35
,Winnipeg,142.94,92.76,43.00,69.06,70.49,3.76,31.47,37.46,24.67
,Hamilton,141.08,79.34,47.45,80.25,66.80,7.13,33.56,54.37,61.06
